100003338,100106207,100115405,100051366:20
100013980,1004785,100009754,1005223:21
100013980,1005160,100009754,100068493:22
100013980,1005160,100009754,1004836:21
100013980,1005160,100009754,1005223:35
100013980,1005160,100019252,100009754:20
100013980,1005160,100019252,1005223:20
100013980,1005160,100033708,1005253:23
100013980,1005160,100068488,100009754:22
100013980,1005160,100068488,1005223:21
100013980,1005160,1004767,100068488:21
100013980,1005160,1004767,1005161:20
100013980,1005160,1004767,1005223:25
100013980,1005160,1004767,1005253:23
100013980,1005160,1004785,100009754:29
100013980,1005160,1004785,100068493:21
100013980,1005160,1004785,1004781:20
100013980,1005160,1004785,1005223:25
100013980,1005160,1004785,1005253:23
100013980,1005160,1004836,1005223:23
100013980,1005160,1004957,100009754:20
100013980,1005160,1004957,1005253:24
100013980,1005160,1005161,100009754:27
100013980,1005160,1005161,1005223:32
100013980,1005160,1005161,1005253:23
100013980,1005160,1005204,1005223:22
100013980,1005160,1005223,1005264:22
100013980,1005160,1005239,100009754:20
100013980,1005160,1005239,1005223:21
100013980,1005160,1005239,1005253:23
100013980,1005160,1005253,100009754:29
100013980,1005160,1005253,100068493:21
100013980,1005160,1005253,1005223:27
100013980,1005160,1005287,100009754:21
100013980,1005160,1005287,1005223:24
100013980,1005160,1005287,1005239:22
100013980,1005160,1005287,1005253:25
100013980,1005161,100009754,1005223:26
100013980,1005253,100009754,1005223:20
100015658,100068441,100068488,100068491:20
100015658,100068488,100068493,100068491:23
100015658,100068488,100068493,100068492:23
100015658,100068488,100068493,1004870:23
100015658,100068488,100068493,1005014:23
100015658,1004226,1004227,1004249:23
100015658,1004659,100068493,1005014:21
100015658,1004659,1004873,100068488:20
100015658,1004659,1004873,100068493:22
100015658,1004659,1004873,1005014:24
100015658,1004767,100068488,100068493:22
100015658,1004767,100068488,1004836:21
100015658,1004767,100068488,1004870:20
100015658,1004767,1004873,100068488:26
100015658,1004767,1004873,100068493:21
100015658,1004767,1005105,1005115:22
100015658,1004767,1005115,100068488:25
100015658,1004767,1005115,100068493:20
100015658,1004767,1005115,1004226:22
100015658,1004767,1005115,1004249:22
100015658,1004767,1005115,1004659:23
100015658,1004767,1005115,1004873:20
100015658,1004767,1005284,1005115:20
100015658,1004873,100068488,100068491:20
100015658,1004873,100068488,100068493:29
100015658,1004873,100068488,1005014:24
100015658,1004873,100068493,1004870:22
100015658,1004873,100068493,1005014:24
100015658,1005105,1004226,1004249:20
100015658,1005105,1005115,100068488:21
100015658,1005105,1005115,1004226:28
100015658,1005105,1005115,1004659:20
100015658,1005105,1005115,1005116:22
100015658,1005105,1005284,1005115:24
